window,model,seed,mse_log_rv,mae_log_rv,mse_rv,mae_rv,qlike_variance,directional_accuracy,period
120,AR1,0,0.18235986991894879,0.32628208420732874,0.000844809809202317,0.015388631634295952,0.7266296634102029,0.7019230769230769,post2017
120,AR3,0,0.1932550110177456,0.3339387466914425,0.0008703048409984624,0.015756171301185066,0.8005305841420481,0.6538461538461539,post2017
120,ARMAX,0,0.19652160549098122,0.34710883584829616,0.0011169740777373463,0.017865341845984057,0.654809804741549,0.6538461538461539,post2017
120,CRL,0,0.19304435615477614,0.33423706867856773,0.0008709950169306813,0.015772431018401967,0.7937923161926453,0.6538461538461539,post2017
120,CRL,1,0.1933748235902487,0.33397218970438536,0.0008702438717827229,0.015751583163127438,0.8005341553149646,0.6538461538461539,post2017
120,CRL,2,0.19314910939538502,0.33383600090209775,0.0008701472991644287,0.015752467123298714,0.7998457191223752,0.6538461538461539,post2017
120,CRL,3,0.19318151627304006,0.3338711925842127,0.0008701555254847745,0.01575167356402397,0.7994630770577195,0.6538461538461539,post2017
120,CRL,4,0.19322828213347698,0.33389312735731147,0.0008702008845819777,0.015753479485457304,0.8002636363272604,0.6538461538461539,post2017
120,CRLX,0,0.19694525882150915,0.34150981896196936,0.0008723947773553835,0.016446917829462306,0.6793835053479756,0.625,post2017
120,CRLX,1,0.19771856503378307,0.34323452848398844,0.0008557957271956676,0.01605110372673826,0.8025480661598964,0.6346153846153846,post2017
120,CRLX,2,0.20276997561811705,0.3524507252141236,0.0008686426733570337,0.016681705324592046,0.7840692411263745,0.6442307692307693,post2017
120,CRLX,3,0.21576102707967657,0.35754481625949336,0.0010150778146165594,0.017548110085830983,0.8248885199733264,0.6634615384615384,post2017
120,CRLX,4,0.20137870800306454,0.3467409730517085,0.0010983456388152441,0.017371681887179517,0.6957726456741977,0.6057692307692307,post2017
120,HAR,0,0.19246584505887993,0.3333398785078015,0.0008719246570741299,0.015712890056801737,0.8212864056800716,0.6538461538461539,post2017
120,HARX,0,0.18769118272502455,0.3288739770204238,0.001025663942454487,0.016584391012016256,0.6718185758044639,0.6826923076923077,post2017
120,LSTM,0,0.2418882676563164,0.3650401730396037,0.0010395169870355831,0.017239541484494445,1.2095826406967816,0.6442307692307693,post2017
120,LSTM,1,0.2411597713696692,0.36713307175742504,0.0010373869245508254,0.017297639238771857,1.2151979009348612,0.6634615384615384,post2017
120,LSTM,2,0.24138806467951052,0.36695873671990575,0.0010353979895544971,0.017277107345159828,1.220181452879619,0.6634615384615384,post2017
120,LSTM,3,0.23773858455485758,0.3655396582043841,0.0010362387328502164,0.017274651513430876,1.1898496873292665,0.6634615384615384,post2017
120,LSTM,4,0.24610761573047507,0.37026470699940867,0.0010433779892522262,0.017401229653900327,1.2302662715351234,0.6634615384615384,post2017
120,LSTMX,0,0.2297322848293429,0.35892122213256467,0.0010004190466986725,0.016870025979344633,1.1622959521674923,0.6730769230769231,post2017
120,LSTMX,1,0.2322585181684586,0.35460440709503493,0.0010038043149183493,0.01666062514209959,1.2219915360697842,0.6634615384615384,post2017
120,LSTMX,2,0.22862081013293212,0.35259973106417913,0.0009920595856989288,0.0165844542077086,1.1710526273426543,0.6923076923076923,post2017
120,LSTMX,3,0.22829851312129237,0.3571625588581005,0.0009910423836221006,0.016757640527085307,1.1163618959456096,0.6730769230769231,post2017
120,LSTMX,4,0.232485204206211,0.35816458718989225,0.001008002787064079,0.016848620910963712,1.2017007232278916,0.6826923076923077,post2017
120,Persistence,0,0.22867414802551003,0.37830125498993183,0.0010877120342240752,0.018662571129092868,0.7189457069934044,0.0673076923076923,post2017
120,QR1,0,0.18235219886252457,0.3283042255451132,0.0008248500403155,0.015851241139284197,0.6538150934044025,0.6634615384615384,post2017
120,QR1,1,0.18707529312663568,0.3309629164499712,0.0008376560493971066,0.015842735469279723,0.6901044332985753,0.6442307692307693,post2017
120,QR1,2,0.18852175047771308,0.33169509823536103,0.0008053646534771366,0.01561665772979733,0.6653244798347302,0.6730769230769231,post2017
120,QR1,3,0.18321661478025558,0.3288664359218452,0.0008280119065687858,0.01592706461886204,0.6524396587144383,0.6538461538461539,post2017
120,QR1,4,0.18818583166616193,0.3328236117843458,0.0008140629582690465,0.01577057602304645,0.6741764801310264,0.6346153846153846,post2017
120,QR2,0,0.2220229170588189,0.36463154251604474,0.0012921928185381977,0.019191327466573108,0.7389721821275084,0.625,post2017
120,QR2,1,0.21665332394158884,0.3527005019003729,0.0010186989302232155,0.017508000971750877,0.7634909771304577,0.6538461538461539,post2017
120,QR2,2,0.2097719457218584,0.3493052828529607,0.0009159648087878649,0.016793685611572753,0.7404297431079587,0.6730769230769231,post2017
120,QR2,3,0.2197396917584267,0.3562166284924947,0.0009876925245358658,0.0174636133394998,0.8187590110259747,0.6538461538461539,post2017
120,QR2,4,0.2143086181125551,0.3554045808528216,0.0009369075601759959,0.01718039423629994,0.7713416431947806,0.625,post2017
571,AR1,0,0.17571542875012083,0.3251329298562563,0.0007832664755437548,0.015338996281228385,0.5916460360665685,0.6826923076923077,post2017
571,AR3,0,0.1878187169349221,0.33007361398726154,0.0008355903939400703,0.015550905482431985,0.7053608717987788,0.6634615384615384,post2017
571,ARMAX,0,0.1773637782041547,0.32517371247029114,0.0008080312249427923,0.015624100422857206,0.6213842398404471,0.6078431372549019,post2017
571,CRL,0,0.1878938907383167,0.3295534301330783,0.0008412451734555415,0.015556215904687316,0.7087033055455745,0.6730769230769231,post2017
571,CRL,1,0.18797117933985755,0.330075697456638,0.0008364894840709597,0.01554854742943989,0.7068968336721854,0.6730769230769231,post2017
571,CRL,2,0.1877461227344089,0.3299434270554376,0.0008357669108974851,0.015545642924632154,0.7051850016611556,0.6730769230769231,post2017
571,CRL,3,0.18785106990002093,0.3299230961918181,0.000836849172520374,0.015545651243807444,0.7061667771532595,0.6730769230769231,post2017
571,CRL,4,0.18780681705620922,0.3300376954516913,0.0008356866707589367,0.015549193903389314,0.705271328138312,0.6730769230769231,post2017
